date,hour,predicted_temperature,actual_temperature
2024-01-01,0,15.334660690725565,14.488336181640648
2024-01-01,1,15.42796115297486,14.245996093750025
2024-01-01,2,15.416822106545135,14.143945312500025
2024-01-01,3,17.04963257339408,15.93872985839846
2024-01-01,4,20.325927552587498,19.76709899902346
2024-01-01,5,22.684089901875,22.68087158203128
2024-01-01,6,24.313452942939538,24.872476196289085
2024-01-01,7,25.141633489652072,26.002465820312523
2024-01-01,8,25.635450527702545,26.792581176757835
2024-01-01,9,25.700877194242448,27.34870300292971
2024-01-01,10,25.311888577257147,27.49274597167971
2024-01-01,11,24.412279064256865,27.2199645996094
2024-01-01,12,22.677229787433944,26.17136535644533
2024-01-01,13,20.058891201811466,24.363214111328148
2024-01-01,14,17.550785169951983,22.4687438964844
2024-01-01,15,15.92983783237609,21.170327758789085
2024-01-01,16,14.89921530047688,20.105371093750023
2024-01-01,17,14.173477643019709,19.12024841308596
2024-01-01,18,13.79307982632659,18.265191650390648
2024-01-01,19,13.806549800203861,17.43403015136721
2024-01-01,20,13.975252715167414,16.885064697265648
2024-01-01,21,14.2172790081916,16.456445312500023
2024-01-01,22,14.543579604430928,16.127343750000023
2024-01-01,23,15.141539271999198,15.858193969726583
2024-01-02,0,15.299910219593583,15.61457214355471
2024-01-02,1,15.39321068184288,15.479913330078148
2024-01-02,2,15.382071635413157,15.414849853515648
2024-01-02,3,17.0148821022621,16.72028503417971
2024-01-02,4,20.291177081455515,19.909967041015648
2024-01-02,5,22.649339430743023,22.37619934082033
2024-01-02,6,24.278702471807556,24.42087707519533
2024-01-02,7,25.106883018520094,25.6677185058594
2024-01-02,8,25.600700056570567,26.68039855957033
2024-01-02,9,25.66612672311047,27.26435241699221
2024-01-02,10,25.277138106125165,27.43872985839846
2024-01-02,11,24.377528593124882,27.19480285644533
2024-01-02,12,22.642479316301966,26.089166259765648
2024-01-02,13,20.024140730679488,23.995660400390648
2024-01-02,14,17.51603469882,22.490319824218773
2024-01-02,15,15.895087361244109,21.347528076171898
2024-01-02,16,14.864464829344902,20.288995361328148
2024-01-02,17,14.138727171887727,19.261102294921898
2024-01-02,18,13.758329355194608,18.308679199218773
